wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
545.0,0.9179272727272729,0.991,0.991,0.991,0.07358,0.8396108816187781,0.8933656235219274,0.0617785686695097,0.05519084951972874
550.0,0.9176363636363638,0.991,0.991,0.991,0.2521,0.8274694986675523,0.8930824984976365,0.20860506061408993,0.18630152873248235
555.0,0.9161272727272727,0.993,0.993,0.993,0.5024,0.8171829105798151,0.8970229564774364,0.41055269427529906,0.36827519160860583
560.0,0.916290909090909,0.992,0.992,0.992,0.6667,0.8031544109908331,0.8944753859863273,0.5354630458075884,0.4789585145801571
565.0,0.9156181818181818,0.993,0.993,0.993,0.7771,0.7928054577114085,0.8965244818156909,0.6160891211875356,0.5523389801249396
570.0,0.9149454545454546,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.855,0.7788561986012761,0.8985750528445094,0.6659220498040911,0.5983809410930352
575.0,0.9145454545454548,0.993,0.993,0.993,0.8697,0.7667596876950913,0.8954741244927276,0.6668509003884209,0.5971477261925082
580.0,0.9139636363636365,0.992,0.992,0.992,0.9179,0.7518682121796477,0.8922035221597093,0.6901398319596986,0.615745188857153
585.0,0.9132909090909093,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.928,0.7404535478305061,0.8969501108746187,0.6871408923867097,0.6163310996127438
590.0,0.9129818181818183,0.992,0.992,0.992,0.932,0.7247613650397445,0.8912450796078547,0.675477592217042,0.6020160804487996
595.0,0.9124545454545455,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.952,0.7135356305360089,0.8961287116370913,0.6792859202702805,0.6087276165650224
600.0,0.912,0.99,0.99,0.99,0.9236,0.6962764981689646,0.884912688,0.6430809737088558,0.5690705130463609
605.0,0.9115454545454545,0.992,0.992,0.992,0.9142,0.6820530059883878,0.8898429136523636,0.6235328580745841,0.5548462951870736
610.0,0.9112727272727272,0.99,0.99,0.99,0.9469,0.6612038976288875,0.884207016,0.6260939706647936,0.5535966815371086
615.0,0.9109090909090908,0.993,0.993,0.993,0.9672,0.6491362330373716,0.8919135911945454,0.6278445645937457,0.5599831003187835
620.0,0.9107636363636362,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.968,0.6358946354258569,0.8810378313372365,0.6155460070922295,0.5423193191768331
625.0,0.9104545454545454,0.993,0.993,0.993,0.958,0.6284603377226475,0.8914685245322727,0.6020650035382963,0.5367220003768025
630.0,0.9101818181818184,0.99,0.99,0.99,0.9486,0.6167013325597119,0.8831485080000002,0.5850028840661428,0.516644424238711
635.0,0.9101818181818184,0.991,0.991,0.991,0.9592,0.605950519610136,0.885827419750182,0.5812277384100425,0.5148674678030016
640.0,0.9095272727272729,0.993,0.993,0.993,0.9709,0.5819300543668403,0.8905605885412365,0.5649958897847652,0.5031630721301001
645.0,0.9078909090909092,0.992,0.992,0.992,0.9694,0.5701378778728463,0.8862753774871274,0.5526916588099372,0.4898370085457637
650.0,0.9058181818181819,0.99,0.99,0.99,0.9724,0.5559791450894578,0.8789144760000001,0.5406341206849887,0.4751711548895677
655.0,0.9055454545454545,0.991,0.991,0.991,0.9756,0.5477029172984687,0.8813151146755455,0.534338966116386,0.47092100719847513
660.0,0.9054545454545456,0.988,0.988,0.988,0.9672,0.530825158698053,0.8732477735563637,0.5134140934927569,0.4483377140550087
665.0,0.9032181818181817,0.99,0.99,0.99,0.9636,0.5205306735937836,0.8763916986,0.5015833570749698,0.43958349029642313
670.0,0.8998909090909091,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.9714,0.503152854281445,0.8705199717361094,0.48876268264899564,0.4254776766852687
675.0,0.8992727272727271,0.988,0.988,0.988,0.9763,0.48905579159782425,0.867285840965818,0.47746516933695576,0.41409878092028835
680.0,0.8972363636363637,0.99,0.99,0.99,0.9706,0.47677902018712076,0.8705875464,0.4627617169936194,0.4028745877653263
685.0,0.8961636363636363,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.9287,0.4642747992537928,0.8669143509698365,0.43117200606699735,0.3737891997959334
